pickup_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,driver_pay,duration_seconds,speed_mph
2026-03-23 22:25:39,100,254,15.45,1784,38.24,43.07,1784.0,31.177130044843047
2026-03-22 14:41:55,158,1,13.61,2003,73.85,46.53,2003.0,24.461308037943084
2026-03-26 21:37:22,163,92,10.22,2166,60.23,37.7,2166.0,16.986149584487535
2026-03-04 21:28:35,162,33,7.0,1654,56.62,31.0,1654.0,15.235792019347038
2026-03-04 15:16:32,189,61,1.77,4858,74.27,57.4,4858.0,1.311650885137917
2026-03-19 15:03:02,138,163,7.436,2886,58.31,42.3,2886.0,9.275675675675675
2026-03-05 09:38:15,71,228,6.22,2399,17.49,35.21,2399.0,9.33388912046686
2026-03-12 07:08:29,237,265,95.032,7108,382.71,247.58,7108.0,48.131007315700614
2026-03-07 13:15:49,112,234,4.205,1294,40.79,28.54,1294.0,11.698608964451314
2026-03-14 18:34:46,144,246,2.5,968,31.86,16.23,968.0,9.297520661157025
2026-03-27 07:53:22,132,183,16.543,2149,70.75,45.62,2149.0,27.712796649604464
2026-03-28 17:23:16,161,162,0.54,625,13.34,7.79,626.0,3.1104000000000003
2026-03-30 07:17:41,61,231,5.282,1678,39.77,25.82,1678.0,11.33206197854589
2026-03-23 08:30:35,3,212,3.35,1551,11.48,21.9,1551.0,7.775628626692456
2026-03-03 06:33:52,50,162,19.31,3468,119.42,81.14,3468.0,20.044982698961935
2026-03-07 17:08:18,132,230,18.01,3393,121.83,65.27,3393.0,19.108753315649867
2026-03-13 20:18:21,138,263,14.508,2770,66.41,50.05,2770.0,18.855162454873643
2026-03-11 21:16:10,90,231,1.75,632,46.74,24.25,632.0,9.968354430379748
2026-03-04 17:37:54,132,66,14.6,4144,139.77,80.11,4145.0,12.683397683397683
2026-03-26 13:19:06,163,265,7.54,1844,43.19,32.47,1844.0,14.720173535791757
2026-03-01 08:23:59,254,81,0.43,143,11.67,10.34,143.0,10.825174825174825
2026-03-01 15:52:16,132,181,13.674,3749,76.62,60.1,3749.0,13.130541477727393
2026-03-10 08:39:03,227,244,17.853,4834,86.59,77.77,4834.0,13.295573024410427
2026-03-31 22:48:44,132,40,19.94,2177,129.45,67.45,2177.0,32.97381717960496
2026-03-10 10:16:54,143,236,2.33,959,34.07,20.44,959.0,8.746611053180397
2026-03-31 16:54:53,138,265,31.18,3237,205.67,114.78,3237.0,34.67655236329935
2026-03-02 16:30:27,132,146,14.624,4218,85.46,66.64,4218.0,12.48136557610242
2026-03-05 14:55:50,170,189,5.71,2836,27.18,39.51,2836.0,7.248236953455571
2026-03-04 10:20:19,229,138,10.01,2638,122.49,81.08,2637.0,13.660348749052313
2026-03-19 17:16:34,55,38,18.3,5215,58.46,82.57,5214.0,12.632790028763184
2026-03-26 22:17:49,161,36,8.441,2323,57.87,37.2,2323.0,13.081188118811884
2026-03-08 14:40:08,138,265,22.977,2369,105.29,61.79,2369.0,34.91650485436894
2026-03-25 23:24:12,88,265,6.81,1578,48.97,28.52,1577.0,15.5361216730038
2026-03-26 11:27:35,114,170,2.36,876,28.34,13.66,876.0,9.698630136986301
2026-03-05 09:18:34,239,186,2.85,1363,48.79,25.32,1363.0,7.527512839325018
2026-03-05 10:21:11,231,246,2.27,733,25.25,12.69,733.0,11.148703956343793
2026-03-12 22:16:32,114,68,2.08,756,25.16,13.25,756.0,9.904761904761905
2026-03-18 08:09:39,236,66,8.84,2622,65.74,45.1,2622.0,12.137299771167047
2026-03-09 20:20:10,138,100,9.17,1368,76.67,42.47,1368.0,24.13157894736842
2026-03-19 04:21:18,148,132,17.12,1790,108.47,58.15,1790.0,34.43128491620112
2026-03-25 00:54:14,256,152,12.82,1680,28.05,35.52,1680.0,27.47142857142857
2026-03-25 20:00:52,161,181,11.35,2167,91.94,51.25,2167.0,18.855560682971852
2026-03-15 02:26:55,249,170,2.31,783,31.65,18.38,783.0,10.620689655172415
2026-03-05 20:26:27,227,256,8.599,2166,46.61,35.62,2166.0,14.29196675900277
2026-03-17 15:59:09,163,142,0.88,697,24.78,14.72,697.0,4.54519368723099
2026-03-01 06:50:15,157,188,6.35,1662,40.31,27.02,1662.0,13.75451263537906
2026-03-20 23:15:02,231,236,7.799,3110,66.49,45.31,3110.0,9.027781350482314
2026-03-01 13:46:38,132,237,20.78,2879,53.17,78.86,2879.0,25.984022229940955
2026-03-09 19:12:08,246,265,14.429,1725,83.21,54.45,1725.0,30.11269565217391
2026-03-05 08:13:55,144,249,1.16,448,35.47,31.37,448.0,9.321428571428571
2026-03-04 17:17:50,75,223,5.64,1406,35.77,23.2,1406.0,14.440967283072546
2026-03-05 12:28:45,86,132,8.402,2379,47.79,37.78,2379.0,12.714249684741485
2026-03-04 19:42:29,234,265,30.63,3237,193.89,96.25,3237.0,34.06487488415199
2026-03-01 00:39:22,80,36,1.9,816,34.47,20.5,816.0,8.382352941176471
2026-03-14 09:43:29,114,265,20.42,2641,97.4,58.31,2641.0,27.83491101855358
